Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.173,23.4,0.756,1.0,22.7,0.328,26.6,0.197,4.4,4.9
0.171,20.0,0.659,3.0,22.4,0.555,22.4,0.176,3.1,5.3
0.072,20.2,0.695,2.0,20.0,0.603,21.8,0.219,4.2,4.5
0.071,29.8,0.573,3.0,21.7,0.314,30.5,0.156,4.4,3.7
0.036,20.9,0.561,5.0,21.2,0.37,24.4,0.151,4.3,4.9
0.027,23.8,0.659,3.0,20.6,0.629,27.6,0.157,1.8,1.3
0.012,19.8,0.695,2.0,18.2,0.281,27.2,0.133,0.9,2.0
0.009,20.0,0.756,1.0,20.4,0.289,22.6,0.185,3.5,3.6
0.004,21.3,0.817,1.0,21.6,0.429,22.5,0.22,3.7,3.9
0.004,14.3,0.695,2.0,18.6,0.465,18.6,0.174,3.3,5.3
0.004,17.0,0.427,8.0,19.5,0.299,20.9,0.143,1.5,4.9
0.003,29.8,0.512,5.0,24.6,0.548,30.0,0.223,6.0,4.8
0.003,15.9,0.476,6.5,15.1,0.465,18.1,0.106,-0.1,1.1
0.001,15.6,0.817,1.0,14.7,0.28,20.5,0.118,0.0,1.8
0.94,23.9,0.793,1.0,27.0,0.482,26.3,0.263,7.5,8.0
0.576,37.1,0.488,8.0,29.8,0.427,38.3,0.247,8.4,10.6
0.347,28.1,0.72,1.0,26.4,0.304,27.5,0.243,7.3,8.6
0.326,26.1,0.72,1.0,24.0,0.392,24.1,0.232,4.7,5.5
0.164,29.0,0.695,2.0,23.5,0.415,32.3,0.197,5.5,5.6
0.145,23.0,0.549,5.0,25.1,0.602,23.1,0.21,5.4,6.0
0.036,23.4,0.512,5.5,23.8,0.428,26.8,0.189,3.1,5.4
0.022,20.6,0.634,3.0,18.8,0.385,25.9,0.121,2.9,4.0
0.014,18.9,0.451,8.0,20.8,0.228,21.1,0.153,3.5,5.4
0.012,24.1,0.512,6.0,23.8,0.528,29.3,0.182,4.3,3.0
0.005,16.8,0.598,3.0,15.1,0.551,23.1,0.091,-1.0,0.3
0.004,21.7,0.537,4.0,18.0,0.38,26.3,0.116,0.3,1.7
0.004,17.5,0.72,1.0,17.7,0.292,19.7,0.147,0.9,2.4
0.003,28.6,0.451,8.0,20.5,0.254,29.2,0.126,4.0,3.1
0.001,25.7,0.671,2.0,22.1,0.35,31.3,0.16,4.1,3.4
0.001,21.0,0.671,2.0,18.1,0.375,24.3,0.14,2.2,2.1
0.001,21.2,0.512,5.5,18.4,0.296,27.8,0.082,0.9,1.8
0.831,35.0,0.61,3.5,31.7,0.43,34.1,0.308,8.8,12.5
0.659,29.9,0.695,1.0,27.8,0.271,30.2,0.243,7.8,8.1
0.635,19.6,0.756,1.0,23.1,0.491,23.4,0.199,5.2,5.3
0.136,28.3,0.439,10.0,27.6,0.741,26.7,0.253,7.3,7.5
0.108,27.0,0.646,3.5,24.1,0.35,28.0,0.207,5.7,7.0
0.069,30.7,0.61,3.5,23.7,0.335,35.2,0.16,5.4,4.7
0.05,22.8,0.561,6.0,23.4,0.396,26.5,0.182,2.2,4.6
0.045,27.7,0.573,5.0,20.7,0.478,29.7,0.152,1.7,2.9
0.033,18.9,0.659,2.0,20.5,0.232,21.4,0.163,3.0,5.5
0.019,14.7,0.573,5.0,23.2,0.41,17.2,0.238,5.2,7.6
0.005,25.0,0.659,2.0,19.8,0.222,28.4,0.129,3.4,2.9
0.004,19.5,0.659,2.0,18.2,0.294,25.4,0.124,2.6,3.7
0.003,13.6,0.463,8.0,15.7,0.263,17.3,0.113,1.6,3.9
0.001,13.9,0.659,2.0,15.6,0.215,16.2,0.13,1.5,3.1
0.001,25.1,0.646,3.5,21.9,0.321,31.6,0.163,4.6,3.9
0.001,20.0,0.659,2.0,19.9,0.663,24.2,0.21,3.7,2.9
0.001,18.3,0.232,11.0,18.2,0.623,20.0,0.138,1.3,1.5
0.782,22.5,0.695,1.0,26.9,0.495,24.3,0.267,7.3,8.3
0.704,32.5,0.573,6.0,31.1,0.442,32.1,0.292,8.4,11.4
0.426,29.1,0.622,3.0,24.4,0.589,30.4,0.233,4.3,5.9
0.235,22.7,0.634,3.5,22.1,0.378,23.6,0.181,2.3,4.8
0.211,24.8,0.549,5.0,25.2,0.419,28.2,0.197,2.7,5.7
